AAEXERCICIO,CD_MENSAL,NR_EMPENHO,NR_REALIZADA,NR_ACUMULADO,CD_PAI,NR_NIVEL
"INDUSTRIA",2009,1,52123543.72,51428436.96,51428436.96,"DESPESA",2
"JUDICIARIA",2009,1,174662605.56,157412953.16,157412953.16,"DESPESA",2
"LEGISLATIVA",2009,1,84879188.34,82530298.32,82530298.32,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,1,382941.31,381160.31,381160.31,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,1,364982510.32,361577187.37,361577187.37,"DESPESA",2
"RELACOES EXTERIORES",2009,1,1032.30,1000.84,1000.84,"DESPESA",2
"SANEAMENTO",2009,1,2550.00,2550.00,2550.00,"DESPESA",2
"SAUDE",2009,1,159229238.89,76805251.15,76805251.15,"DESPESA",2
"SEGURANCA PUBLICA",2009,1,364618758.54,351662903.66,351662903.66,"DESPESA",2
"TRABALHO",2009,1,455903.45,404963.18,404963.18,"DESPESA",2
"TRANSPORTE",2009,1,17630538.85,15173492.64,15173492.64,"DESPESA",2
"URBANISMO",2009,1,584064.55,452296.38,452296.38,"DESPESA",2
"ADMINISTRACAO",2009,2,86031188.71,73179179.23,138340092.97,"DESPESA",2
"AGRICULTURA",2009,2,33418723.77,33431004.80,55015064.85,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,2,4987123.84,4701528.83,9968973.44,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,2,7476766.45,6489495.93,9791633.51,"DESPESA",2
"COMERCIO E SERVICOS",2009,2,12479698.68,12549833.68,18246541.01,"DESPESA",2
"COMUNICACOES",2009,2,571118.02,373423.09,652471.02,"DESPESA",2
"CULTURA",2009,2,9601157.14,9127601.46,12277464.18,"DESPESA",2
"DESPORTO E LAZER",2009,2,1675729.52,1700691.40,2635520.26,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,2,257009.24,253143.05,355923.68,"DESPESA",2
"EDUCACAO",2009,2,282529763.19,277357784.26,578113031.93,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,2,636646328.23,650778973.45,1695213455.65,"DESPESA",2
"ENERGIA",2009,2,-150.00,-150.00,768.51,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,2,70045848.13,68043451.92,133550079.51,"DESPESA",2
"GESTAO AMBIENTAL",2009,2,9579699.32,10132606.25,16129070.26,"DESPESA",2
"HABITACAO",2009,2,16412302.37,10970880.80,20310920.01,"DESPESA",2
"INDUSTRIA",2009,2,9420501.25,9550979.01,60979415.97,"DESPESA",2
"JUDICIARIA",2009,2,160785297.97,164771376.43,322184329.59,"DESPESA",2
"LEGISLATIVA",2009,2,79053957.66,77815903.01,160346201.33,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,2,652470.90,629712.61,1010872.92,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,2,365646127.91,365525262.36,727102449.73,"DESPESA",2
"RELACOES EXTERIORES",2009,2,5124.84,3907.18,4908.02,"DESPESA",2
"SANEAMENTO",2009,2,2970.00,2970.00,5520.00,"DESPESA",2
"SAUDE",2009,2,462219082.16,132695424.97,209500676.12,"DESPESA",2
"SEGURANCA PUBLICA",2009,2,391435571.47,377179793.88,728842697.54,"DESPESA",2
"TRABALHO",2009,2,1705747.94,999139.73,1404102.91,"DESPESA",2
"TRANSPORTE",2009,2,60143782.23,38320175.51,53493668.15,"DESPESA",2
"URBANISMO",2009,2,358895.51,401868.60,854164.98,"DESPESA",2
"ADMINISTRACAO",2009,3,106025376.92,98694432.34,237034525.31,"DESPESA",2
"AGRICULTURA",2009,3,37790373.41,37539751.58,92554816.43,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,3,14836842.98,13545439.90,23514413.34,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,3,26996354.22,26715099.08,36506732.59,"DESPESA",2
"COMERCIO E SERVICOS",2009,3,14757094.31,13560193.10,31806734.11,"DESPESA",2
"COMUNICACOES",2009,3,212295.96,371906.90,1024377.92,"DESPESA",2
"CULTURA",2009,3,7038916.11,6871414.17,19148878.35,"DESPESA",2
"DESPORTO E LAZER",2009,3,5046814.26,4931006.72,7566526.98,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,3,654570.85,597586.27,953509.95,"DESPESA",2
"EDUCACAO",2009,3,429149701.35,343515408.14,921628440.07,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,3,1181845742.06,1186573373.07,2881786828.72,"DESPESA",2
"ENERGIA",2009,3,3400764.04,3399712.00,3400480.51,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,3,71949554.44,71044575.30,204594654.81,"DESPESA",2
"GESTAO AMBIENTAL",2009,3,18774196.79,14152143.09,30281213.35,"DESPESA",2
"HABITACAO",2009,3,12916407.65,9900517.94,30211437.95,"DESPESA",2
"INDUSTRIA",2009,3,19666003.37,17590760.28,78570176.25,"DESPESA",2
"JUDICIARIA",2009,3,173628092.32,174089620.78,496273950.37,"DESPESA",2
"LEGISLATIVA",2009,3,79606558.23,78725141.79,239071343.12,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,3,608422.96,605767.29,1616640.21,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,3,397351521.48,395366145.53,1122468595.26,"DESPESA",2
"RELACOES EXTERIORES",2009,3,1306.09,2447.10,7355.12,"DESPESA",2
"SANEAMENTO",2009,3,1113448.89,1111948.89,1117468.89,"DESPESA",2
"SAUDE",2009,3,397490572.81,279063724.57,488564400.69,"DESPESA",2
"SEGURANCA PUBLICA",2009,3,419108531.12,402390504.13,1131233201.67,"DESPESA",2
"TRABALHO",2009,3,3822684.69,960017.00,2364119.91,"DESPESA",2
"TRANSPORTE",2009,3,150407100.63,86566072.20,140059740.35,"DESPESA",2
"URBANISMO",2009,3,848464.93,793693.89,1647858.87,"DESPESA",2
"ADMINISTRACAO",2009,4,95856105.30,57320901.61,294355426.92,"DESPESA",2
"AGRICULTURA",2009,4,36670338.44,34514556.27,127069372.70,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,4,8068843.95,8980410.84,32494824.18,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,4,6215322.88,6668381.25,43175113.84,"DESPESA",2
"COMERCIO E SERVICOS",2009,4,18608228.01,17647404.28,49454138.39,"DESPESA",2
"COMUNICACOES",2009,4,262567.02,328745.52,1353123.44,"DESPESA",2
"CULTURA",2009,4,5900467.24,5098563.29,24247441.64,"DESPESA",2
"DESPORTO E LAZER",2009,4,4626573.04,4530261.98,12096788.96,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,4,2114599.14,1920692.04,2874201.99,"DESPESA",2
"EDUCACAO",2009,4,433007931.75,316126724.11,1237755164.18,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,4,844930905.04,855782144.03,3737568972.75,"DESPESA",2
"ENERGIA",2009,4,9.90,1037.51,3401518.02,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,4,69221057.03,69456749.55,274051404.36,"DESPESA",2
"GESTAO AMBIENTAL",2009,4,19235919.87,19177431.84,49458645.19,"DESPESA",2
"HABITACAO",2009,4,10581481.88,10582234.01,40793671.96,"DESPESA",2
"INDUSTRIA",2009,4,321248263.53,321024437.24,399594613.49,"DESPESA",2
"JUDICIARIA",2009,4,179129127.12,174564687.70,670838638.07,"DESPESA",2
"LEGISLATIVA",2009,4,75156133.93,74719257.91,313790601.03,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,4,3242536.98,939959.32,2556599.53,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,4,366746401.92,368868868.84,1491337464.10,"DESPESA",2
"RELACOES EXTERIORES",2009,4,25001.43,18524.36,25879.48,"DESPESA",2
"SANEAMENTO",2009,4,888621.99,885321.99,2002790.88,"DESPESA",2
"SAUDE",2009,4,210311251.32,260948311.27,749512711.96,"DESPESA",2
"SEGURANCA PUBLICA",2009,4,439366224.62,428223072.87,1559456274.54,"DESPESA",2
"TRABALHO",2009,4,2640285.46,1093187.27,3457307.18,"DESPESA",2
"TRANSPORTE",2009,4,169308383.32,129780409.30,269840149.65,"DESPESA",2
"URBANISMO",2009,4,800575.18,640567.59,2288426.46,"DESPESA",2
"ADMINISTRACAO",2009,5,108444178.06,116350770.87,410706197.79,"DESPESA",2
"AGRICULTURA",2009,5,52620468.08,52793574.40,179862947.10,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,5,12418982.27,12254858.61,44749682.79,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,5,20759377.92,19440511.54,62615625.38,"DESPESA",2
"COMERCIO E SERVICOS",2009,5,22397863.67,17034464.12,66488602.51,"DESPESA",2
"COMUNICACOES",2009,5,699454.96,425074.28,1778197.72,"DESPESA",2
"CULTURA",2009,5,10416994.55,9674183.88,33921625.52,"DESPESA",2
"DESPORTO E LAZER",2009,5,3574987.00,3354054.98,15450843.94,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,5,1628464.19,1230519.65,4104721.64,"DESPESA",2
"EDUCACAO",2009,5,341695527.95,388619031.53,1626374195.71,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,5,581689276.33,580234213.49,4317803186.24,"DESPESA",2
"ENERGIA",2009,5,0.00,0.00,3401518.02,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,5,74821874.32,68792539.67,342843944.03,"DESPESA",2
"GESTAO AMBIENTAL",2009,5,26763962.60,27160669.91,76619315.10,"DESPESA",2
"HABITACAO",2009,5,9322014.49,11563095.75,52356767.71,"DESPESA",2
"INDUSTRIA",2009,5,12349550.80,10310586.76,409905200.25,"DESPESA",2
"JUDICIARIA",2009,5,174581929.49,175837470.88,846676108.95,"DESPESA",2
"LEGISLATIVA",2009,5,78221757.94,79451347.52,393241948.55,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,5,1297793.78,656654.08,3213253.61,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,5,372617652.09,372525188.31,1863862652.41,"DESPESA",2
"RELACOES EXTERIORES",2009,5,461.21,5938.19,31817.67,"DESPESA",2
"SANEAMENTO",2009,5,184527.40,186327.40,2189118.28,"DESPESA",2
"SAUDE",2009,5,286579651.06,278668171.18,1028180883.14,"DESPESA",2
"SEGURANCA PUBLICA",2009,5,424745932.63,408969333.39,1968425607.93,"DESPESA",2
"TRABALHO",2009,5,847684.46,2392308.67,5849615.85,"DESPESA",2
"TRANSPORTE",2009,5,212720225.93,214428804.41,484268954.06,"DESPESA",2
"URBANISMO",2009,5,902938.40,1033952.72,3322379.18,"DESPESA",2
"ADMINISTRACAO",2009,6,106162456.05,104773502.15,515479699.94,"DESPESA",2
"AGRICULTURA",2009,6,42808135.17,41779900.61,221642847.71,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,6,9360228.72,7749262.36,52498945.15,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,6,17510879.14,17231680.16,79847305.54,"DESPESA",2
"COMERCIO E SERVICOS",2009,6,32978663.38,33007288.91,99495891.42,"DESPESA",2
"COMUNICACOES",2009,6,235142.09,421752.42,2199950.14,"DESPESA",2
"CULTURA",2009,6,10511765.10,8793899.08,42715524.60,"DESPESA",2
"DESPORTO E LAZER",2009,6,6887156.94,5107893.18,20558737.12,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,6,902253.00,1002975.00,5107696.64,"DESPESA",2
"EDUCACAO",2009,6,381789499.79,362048087.20,1988422282.91,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,6,1071334197.54,1078296878.70,5396100064.94,"DESPESA",2
"ENERGIA",2009,6,0.00,0.00,3401518.02,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,6,76406457.10,76001675.40,418845619.43,"DESPESA",2
"GESTAO AMBIENTAL",2009,6,29774072.90,31360014.27,107979329.37,"DESPESA",2
"HABITACAO",2009,6,6574252.07,7822715.83,60179483.54,"DESPESA",2
"INDUSTRIA",2009,6,43216493.21,43687057.00,453592257.25,"DESPESA",2
"JUDICIARIA",2009,6,188236695.74,186884920.09,1033561029.04,"DESPESA",2
"LEGISLATIVA",2009,6,89961075.24,89489471.56,482731420.11,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,6,1751161.60,726040.31,3939293.92,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,6,365687801.99,365384856.58,2229247508.99,"DESPESA",2
"RELACOES EXTERIORES",2009,6,10989.78,8153.77,39971.44,"DESPESA",2
"SANEAMENTO",2009,6,328713.60,327703.60,2516821.88,"DESPESA",2
"SAUDE",2009,6,196651100.55,312835544.54,1341016427.68,"DESPESA",2
"SEGURANCA PUBLICA",2009,6,408255585.88,410467039.26,2378892647.19,"DESPESA",2
"TRABALHO",2009,6,1727081.76,3673332.48,9522948.33,"DESPESA",2
"TRANSPORTE",2009,6,200081089.16,134290089.99,618559044.05,"DESPESA",2
"URBANISMO",2009,6,981064.23,799672.09,4122051.27,"DESPESA",2
"ADMINISTRACAO",2009,7,106833635.79,111912894.47,627392594.41,"DESPESA",2
"AGRICULTURA",2009,7,40327796.97,40164378.20,261807225.91,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,7,5159219.08,6200582.74,58699527.89,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,7,21655173.22,22658050.20,102505355.74,"DESPESA",2
"COMERCIO E SERVICOS",2009,7,18940032.64,21438364.44,120934255.86,"DESPESA",2
"COMUNICACOES",2009,7,400440.80,391208.23,2591158.37,"DESPESA",2
"CULTURA",2009,7,8322995.61,9532534.04,52248058.64,"DESPESA",2
"DESPORTO E LAZER",2009,7,4003162.02,5133103.27,25691840.39,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,7,605475.66,764562.76,5872259.40,"DESPESA",2
"EDUCACAO",2009,7,396757353.58,407956158.58,2396378441.49,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,7,743239033.43,746155896.57,6142255961.51,"DESPESA",2
"ENERGIA",2009,7,1987.24,530.00,3402048.02,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,7,88975192.14,89897279.11,508742898.54,"DESPESA",2
"GESTAO AMBIENTAL",2009,7,22321259.70,21199266.39,129178595.76,"DESPESA",2
"HABITACAO",2009,7,4860611.76,7724484.83,67903968.37,"DESPESA",2
"INDUSTRIA",2009,7,52293005.02,53344511.56,506936768.81,"DESPESA",2
"JUDICIARIA",2009,7,234196234.12,233915868.86,1267476897.90,"DESPESA",2
"LEGISLATIVA",2009,7,88184158.37,87751091.85,570482511.96,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,7,897264.13,682916.90,4622210.82,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,7,370796063.52,371752432.90,2600999941.89,"DESPESA",2
"RELACOES EXTERIORES",2009,7,545935.82,545251.92,585223.36,"DESPESA",2
"SANEAMENTO",2009,7,2552067.50,2534256.98,5051078.86,"DESPESA",2
"SAUDE",2009,7,313026385.26,370368951.36,1711385379.04,"DESPESA",2
"SEGURANCA PUBLICA",2009,7,408335323.87,407818854.60,2786711501.79,"DESPESA",2
"TRABALHO",2009,7,5194808.20,5019559.08,14542507.41,"DESPESA",2
"TRANSPORTE",2009,7,168557368.96,169944201.82,788503245.87,"DESPESA",2
"URBANISMO",2009,7,1370930.80,1096276.70,5218327.97,"DESPESA",2
"ADMINISTRACAO",2009,8,90005342.88,100080865.44,727473459.85,"DESPESA",2
"AGRICULTURA",2009,8,39927890.19,39969297.08,301776522.99,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,8,7478572.50,6321325.98,65020853.87,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,8,32005466.97,31889703.14,134395058.88,"DESPESA",2
"COMERCIO E SERVICOS",2009,8,33835709.79,33547394.60,154481650.46,"DESPESA",2
"COMUNICACOES",2009,8,214525.01,258479.85,2849638.22,"DESPESA",2
"CULTURA",2009,8,4550636.52,4688553.34,56936611.98,"DESPESA",2
"DESPORTO E LAZER",2009,8,3433535.91,3662955.10,29354795.49,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,8,974863.37,671622.50,6543881.90,"DESPESA",2
"EDUCACAO",2009,8,321273683.11,351374603.66,2747753045.15,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,8,797427291.24,801785947.45,6944041908.96,"DESPESA",2
"ENERGIA",2009,8,1482.61,1546.28,3403594.30,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,8,71831773.60,71426853.44,580169751.98,"DESPESA",2
"GESTAO AMBIENTAL",2009,8,22907620.45,21788271.64,150966867.40,"DESPESA",2
"HABITACAO",2009,8,7446747.01,9881856.70,77785825.07,"DESPESA",2
"INDUSTRIA",2009,8,12804447.19,13906541.96,520843310.77,"DESPESA",2
"JUDICIARIA",2009,8,178935381.62,173993723.45,1441470621.35,"DESPESA",2
"LEGISLATIVA",2009,8,86550848.63,86350256.61,656832768.57,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,8,1690023.42,1131294.62,5753505.44,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,8,222360864.35,220409711.11,2821409653.00,"DESPESA",2
"RELACOES EXTERIORES",2009,8,840.24,3259.99,588483.35,"DESPESA",2
"SANEAMENTO",2009,8,1723157.70,1740958.22,6792037.08,"DESPESA",2
"SAUDE",2009,8,213601122.36,311718100.05,2023103479.09,"DESPESA",2
"SEGURANCA PUBLICA",2009,8,407001779.24,403557032.03,3190268533.82,"DESPESA",2
"TRABALHO",2009,8,817556.85,1023834.78,15566342.19,"DESPESA",2
"TRANSPORTE",2009,8,135648175.35,202357482.71,990860728.58,"DESPESA",2
"URBANISMO",2009,8,991201.83,1025419.83,6243747.80,"DESPESA",2
"ADMINISTRACAO",2009,9,97693346.84,94934912.18,822408372.03,"DESPESA",2
"AGRICULTURA",2009,9,44003454.32,42215424.21,343991947.20,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,9,10236373.43,7792302.45,72813156.32,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,9,23592227.49,23050933.52,157445992.40,"DESPESA",2
"COMERCIO E SERVICOS",2009,9,15775999.36,15137638.06,169619288.52,"DESPESA",2
"COMUNICACOES",2009,9,432030.80,453073.26,3302711.48,"DESPESA",2
"CULTURA",2009,9,10937180.58,11219593.10,68156205.08,"DESPESA",2
"DESPORTO E LAZER",2009,9,6982564.93,4874543.94,34229339.43,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,9,1081477.04,849657.96,7393539.86,"DESPESA",2
"EDUCACAO",2009,9,463431885.56,501316801.59,3249069846.74,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,9,786342009.06,785052317.01,7729094225.97,"DESPESA",2
"ENERGIA",2009,9,146156.00,146156.00,3549750.30,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,9,73429396.83,72513853.21,652683605.19,"DESPESA",2
"GESTAO AMBIENTAL",2009,9,26766355.53,23564318.82,174531186.22,"DESPESA",2
"HABITACAO",2009,9,11195876.96,11216823.23,89002648.30,"DESPESA",2
"INDUSTRIA",2009,9,12395785.28,12228862.85,533072173.62,"DESPESA",2
"JUDICIARIA",2009,9,249956637.72,249047050.02,1690517671.37,"DESPESA",2
"LEGISLATIVA",2009,9,74751487.53,74681217.85,731513986.42,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,9,6090236.46,1224845.84,6978351.28,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,9,377121105.96,377810605.44,3199220258.44,"DESPESA",2
"RELACOES EXTERIORES",2009,9,47632.84,12929.16,601412.51,"DESPESA",2
"SANEAMENTO",2009,9,808794.13,560669.34,7352706.42,"DESPESA",2
"SAUDE",2009,9,303481677.06,314439373.42,2337542852.51,"DESPESA",2
"SEGURANCA PUBLICA",2009,9,583841885.17,568672287.26,3758940821.08,"DESPESA",2
"TRABALHO",2009,9,1451592.39,1924867.69,17491209.88,"DESPESA",2
"TRANSPORTE",2009,9,152208080.51,162158450.61,1153019179.19,"DESPESA",2
"URBANISMO",2009,9,1268874.47,1533595.88,7777343.68,"DESPESA",2
"ADMINISTRACAO",2009,10,118981500.95,104695554.29,927103926.32,"DESPESA",2
"AGRICULTURA",2009,10,33044467.55,33230116.60,377222063.80,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,10,12811937.48,14253373.47,87066529.79,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,10,18392748.79,18504197.77,175950190.17,"DESPESA",2
"COMERCIO E SERVICOS",2009,10,6727088.43,6022589.23,175641877.75,"DESPESA",2
"COMUNICACOES",2009,10,7142466.22,7167831.93,10470543.41,"DESPESA",2
"CULTURA",2009,10,6252994.78,6551070.97,74707276.05,"DESPESA",2
"DESPORTO E LAZER",2009,10,3715125.80,4343675.48,38573014.91,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,10,1999433.59,1844129.51,9237669.37,"DESPESA",2
"EDUCACAO",2009,10,322676925.42,344980801.49,3594050648.23,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,10,858260910.19,867126451.49,8596220677.46,"DESPESA",2
"ENERGIA",2009,10,3420420.82,3399957.00,6949707.30,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,10,72470347.72,71600980.29,724284585.48,"DESPESA",2
"GESTAO AMBIENTAL",2009,10,25697347.67,20620076.19,195151262.41,"DESPESA",2
"HABITACAO",2009,10,9906811.56,9679766.18,98682414.48,"DESPESA",2
"INDUSTRIA",2009,10,21301204.56,20546843.18,553619016.80,"DESPESA",2
"JUDICIARIA",2009,10,177291347.01,176373432.27,1866891103.64,"DESPESA",2
"LEGISLATIVA",2009,10,76274468.68,76613929.94,808127916.36,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,10,806846.88,1418294.83,8396646.11,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,10,381500691.36,380836267.80,3580056526.24,"DESPESA",2
"RELACOES EXTERIORES",2009,10,24383.59,59260.48,660672.99,"DESPESA",2
"SANEAMENTO",2009,10,341019.45,589144.24,7941850.66,"DESPESA",2
"SAUDE",2009,10,308861668.64,308977959.75,2646520812.26,"DESPESA",2
"SEGURANCA PUBLICA",2009,10,383681097.86,371570306.27,4130511127.35,"DESPESA",2
"TRABALHO",2009,10,745767.54,688635.12,18179845.00,"DESPESA",2
"TRANSPORTE",2009,10,168526754.71,167154793.82,1320173973.01,"DESPESA",2
"URBANISMO",2009,10,573226.15,533520.81,8310864.49,"DESPESA",2
"ADMINISTRACAO",2009,11,104117307.21,108614765.41,1035718691.73,"DESPESA",2
"AGRICULTURA",2009,11,49920682.72,40161483.46,417383547.26,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,11,23178039.00,22445467.82,109511997.61,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,11,21880733.23,21925164.92,197875355.09,"DESPESA",2
"COMERCIO E SERVICOS",2009,11,15835453.03,15925378.90,191567256.65,"DESPESA",2
"COMUNICACOES",2009,11,676555.43,556606.55,11027149.96,"DESPESA",2
"CULTURA",2009,11,11238184.61,10684344.11,85391620.16,"DESPESA",2
"DESPORTO E LAZER",2009,11,3394131.29,4053549.84,42626564.75,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,11,2777607.03,2546070.22,11783739.59,"DESPESA",2
"EDUCACAO",2009,11,668668364.67,639589679.56,4233640327.79,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,11,958582797.67,951526522.06,9547747199.52,"DESPESA",2
"ENERGIA",2009,11,281.90,20836.64,6970543.94,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,11,85970517.90,84520548.51,808805133.99,"DESPESA",2
"GESTAO AMBIENTAL",2009,11,23526245.49,21422596.38,216573858.79,"DESPESA",2
"HABITACAO",2009,11,8594611.04,8585012.97,107267427.45,"DESPESA",2
"INDUSTRIA",2009,11,41776042.30,41602145.76,595221162.56,"DESPESA",2
"JUDICIARIA",2009,11,176075173.43,178142731.66,2045033835.30,"DESPESA",2
"LEGISLATIVA",2009,11,89772640.20,88327751.53,896455667.89,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,11,-1263170.07,1594794.79,9991440.90,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,11,514280213.71,509679505.18,4089736031.42,"DESPESA",2
"RELACOES EXTERIORES",2009,11,6535.78,6049.04,666722.03,"DESPESA",2
"SANEAMENTO",2009,11,612656.06,612646.06,8554496.72,"DESPESA",2
"SAUDE",2009,11,416870902.80,348875412.06,2995396224.32,"DESPESA",2
"SEGURANCA PUBLICA",2009,11,861167313.30,809697636.83,4940208764.18,"DESPESA",2
"TRABALHO",2009,11,12604602.10,9854556.08,28034401.08,"DESPESA",2
"TRANSPORTE",2009,11,123035070.52,142636842.76,1462810815.77,"DESPESA",2
"URBANISMO",2009,11,2213621.71,2349246.28,10660110.77,"DESPESA",2
"ADMINISTRACAO",2009,12,345581937.37,412752426.78,1448471118.51,"DESPESA",2
"AGRICULTURA",2009,12,59838457.15,75167410.67,492550957.93,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,12,44958002.58,49399020.10,158911017.71,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,12,37225410.44,41358215.05,239233570.14,"DESPESA",2
"COMERCIO E SERVICOS",2009,12,73462282.11,81088042.06,272655298.71,"DESPESA",2
"COMUNICACOES",2009,12,382487.05,526762.93,11553912.89,"DESPESA",2
"CULTURA",2009,12,29222785.04,32035629.52,117427249.68,"DESPESA",2
"DESPORTO E LAZER",2009,12,19201866.87,21235892.80,63862457.55,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,12,2719418.25,4141144.73,15924884.32,"DESPESA",2
"EDUCACAO",2009,12,389970714.38,512421915.00,4746062242.79,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,12,766895479.96,786313426.00,10334060625.52,"DESPESA",2
"ENERGIA",2009,12,3250116.40,3251509.97,10222053.91,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,12,112612144.63,128168611.25,936973745.24,"DESPESA",2
"GESTAO AMBIENTAL",2009,12,48115909.26,65681923.09,282255781.88,"DESPESA",2
"HABITACAO",2009,12,10387815.83,10873692.13,118141119.58,"DESPESA",2
"INDUSTRIA",2009,12,296822219.35,300195897.02,895417059.58,"DESPESA",2
"JUDICIARIA",2009,12,425591145.19,448035831.99,2493069667.29,"DESPESA",2
"LEGISLATIVA",2009,12,143421304.19,149377911.05,1045833578.94,"DESPESA",2
"ORGANIZACAO AGRARIA",2009,12,12433742.60,18598830.05,28590270.95,"DESPESA",2
"PREVIDENCIA SOCIAL",2009,12,606519091.16,615874014.35,4705610045.77,"DESPESA",2
"RELACOES EXTERIORES",2009,12,78560.35,81082.24,747804.27,"DESPESA",2
"SANEAMENTO",2009,12,1238848.62,1242878.62,9797375.34,"DESPESA",2
"SAUDE",2009,12,709465304.84,982391733.43,3977787957.75,"DESPESA",2
"SEGURANCA PUBLICA",2009,12,528199911.66,679549151.18,5619757915.36,"DESPESA",2
"TRABALHO",2009,12,4576792.33,8556106.09,36590507.17,"DESPESA",2
"TRANSPORTE",2009,12,578704775.76,674160530.16,2136971345.93,"DESPESA",2
"URBANISMO",2009,12,54087492.59,54321239.58,64981350.35,"DESPESA",2
"ADMINISTRACAO",2010,1,97028232.15,73114461.42,73114461.42,"DESPESA",2
"AGRICULTURA",2010,1,24364327.55,23414277.35,23414277.35,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,1,6109309.75,5279517.90,5279517.90,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,1,8799420.55,5870320.73,5870320.73,"DESPESA",2
"COMERCIO E SERVICOS",2010,1,5535453.67,4773916.65,4773916.65,"DESPESA",2
"COMUNICACOES",2010,1,311288.05,257777.00,257777.00,"DESPESA",2
"CULTURA",2010,1,6012657.81,5368207.16,5368207.16,"DESPESA",2
"DESPORTO E LAZER",2010,1,1241315.50,839936.07,839936.07,"DESPESA",2
